codigo;descripcion;unidad;precio
130301;"BROCA DE CARPINTERO 5/16""";UNIDA;588
130304;"BROCA DE CARPINTERO 5/8""";UNIDA;714
130430;BROCA HSS 1.5MM DE CHINA;UNIDA;378
130449;BROCA HSS 10.5MM DE CHINA;UNIDA;1261
130451;BROCA HSS 11.5MM DE CHINA;UNIDA;1513
130450;BROCA HSS 11MM DE CHINA;UNIDA;1513
130432;BROCA HSS 2.5MM DE CHINA;UNIDA;420
130431;BROCA HSS 2MM DE CHINA;UNIDA;420
130434;BROCA HSS 3.5MM DE CHINA;UNIDA;462
130436;BROCA HSS 4.5MM DE CHINA;UNIDA;504
130438;BROCA HSS 5.5MM DE CHINA;UNIDA;504
130440;BROCA HSS 6.5MM DE CHINA;UNIDA;294
130442;BROCA HSS 7.5MM DE CHINA;UNIDA;378
130441;BROCA HSS 7MM DE CHINA;UNIDA;378
130447;BROCA HSS 9.5MM DE CHINA;UNIDA;672
130404;BROCA P/CONCRETO 10MM;UNIDA;378
130405;BROCA P/CONCRETO 12MM;UNIDA;504
130401;BROCA P/CONCRETO 5MM;UNIDA;210
130403;BROCA P/CONCRETO 8MM;UNIDA;420
011310;"BROCHA DE CAFE 1/2""";UNIDA;84
011315;"BROCHA DE CAFE 2.5""";UNIDA;420
011316;"BROCHA DE CAFE 3""";UNIDA;504
011317;"BROCHA DE CAFE 4""";UNIDA;546
011382;"BROCHA SIN MARCA B.CALIDAD 1""";UNIDA;378
011383;"BROCHA SIN MARCA B.CALIDAD 1.5""";UNIDA;546
011380;"BROCHA SIN MARCA B.CALIDAD 1/2""";UNIDA;252
011384;"BROCHA SIN MARCA B.CALIDAD 2""";UNIDA;672
011385;"BROCHA SIN MARCA B.CALIDAD 2.5""";UNIDA;756
011386;"BROCHA SIN MARCA B.CALIDAD 3""";UNIDA;840
011381;"BROCHA SIN MARCA B.CALIDAD 3/4""";UNIDA;336
011387;"BROCHA SIN MARCA B.CALIDAD 4""";UNIDA;1261
010512;CAD.CUELLO DOBLE 114. 2.0MMX35CM;UNIDA;840
010513;CAD.CUELLO DOBLE 114. 2.0MMX45CM;UNIDA;840
010514;CAD.CUELLO DOBLE 114. 2.5MMX60CM;UNIDA;1008
010515;CAD.CUELLO DOBLE 114. 3.0MMX55CM;UNIDA;1008
010508;"CAD.CUELLO P/PERRO 104. 2.5MMX18""";UNIDA;420
010509;"CAD.CUELLO P/PERRO 104. 3.0MMX22""";UNIDA;462
010510;"CAD.CUELLO P/PERRO 104. 3.5MMX26""";UNIDA;588
010511;"CAD.CUELLO P/PERRO 104. 4.0MMX28""";UNIDA;840
010502;CADENA DE PERRO 1.6X48 120/C;UNIDA;840
010503;CADENA DE PERRO 2.0X48 120/C;UNIDA;1176
010504;CADENA DE PERRO 2.5X48 120/C;UNIDA;1261
010505;CADENA DE PERRO 3.0X48 120/C;UNIDA;1681
010506;CADENA DE PERRO 3.5X48 96/C;UNIDA;2017
010507;CADENA DE PERRO 4.0X48 72/C;UNIDA;2101
159940;CAJA CHUQUI SPTA.P/CANALETA 50C;UNIDA;1008
160009;CAJA ESTANCA 100X100X70MM 100/C;UNIDA;2521
160008;CAJA ESTANCA 80X80X50;UNIDA;1345
160007;CAJA ESTANCA 85 X 85 X 50 200/C;UNIDA;1513
160131;CAJA VACIA P/ CAMPANA;UNIDA;8403
011560;CAJA ZINCADA EMT C/TAPA 100X70X70MM 60/C;UNIDA;1261
011561;CAJA ZINCADA EMTC/TAPA 100X100X70MM 50/C;UNIDA;1513
159947;CAJA.DIST.EMB.16-20MM PANEL.NA 300C;UNIDA;714
120000;CALEFACTOR DE AGUA ENERGIA SOLAR 180L;UNIDA;323529
010477;CAMARA PARA CARRETILLA;UNIDA;2941
160133;"CAMPANA 19""";UNIDA;19328
160129;"CAMPANA ALUMINIO 16""";UNIDA;6555
160132;"CAMPANA 12"" REPUESTO";UNIDA;8403
160123;"CAMPANA 16"" COMPLETA S/TAPA";UNIDA;40504
160127;"CAMPANA 16"" REPUESTO";UNIDA;13445
160124;"CAMPANA 22"" COMPLETA S/TAPA";UNIDA;49950
160128;"CAMPANA 22"" REPUESTO";UNIDA;20168
160235;"CAMPANA ALUM. 19"" C/CANCHO E-40";UNIDA;24790
120485;CAMPANA ALUMINIO LED 180W;UNIDA;57143
120487;CAMPANA ALUMNIO LED NUEVO MODELO 100W;UNIDA;14706
120486;CAMPANA ALUMNIO LED NUEVO MODELO 50W;UNIDA;12605
160130;"CAMPANA DE ALUMINIO 22""";UNIDA;15756
140300;"CAMPANA DE TIEMPRE ELECT.3 """;UNIDA;5462
140301;"CAMPANA DE TIEMPRE ELECT.4""";UNIDA;6555
140302;"CAMPANA DE TIEMPRE ELECT.6""";UNIDA;9664
140303;"CAMPANA DE TIEMPRE ELECT.8""";UNIDA;12605
160030;"CAMPANA LED ""UFO""";UNIDA;67227
160031;"CAMPANA LED ""UFO""";UNIDA;67227
160032;"CAMPANA LED ""UFO""";UNIDA;96639
160136;CAMPANA LED MULTIPUNTO 180W 10/C;UNIDA;29412
140250;CAMPANA P.C C/CANCHO E-27;UNIDA;16000
140257;CAMPANA P.C C/CANCHO E-27;UNIDA;23529
140258;CAMPANA P.C C/CANCHO E-40;UNIDA;29412
160134;"CAMPANA PC C/CANCHO 19""";UNIDA;24370
120482;CAMPANA UFO LED 100W;UNIDA;25210
120479;CAMPANA UFO LED 100W;UNIDA;21008
120483;CAMPANA UFO LED 150W;UNIDA;37815
120480;CAMPANA UFO LED 150W;UNIDA;29412
120478;CAMPANA UFO LED 200W;UNIDA;70000
120484;CAMPANA UFO LED 200W;UNIDA;37815
120481;CAMPANA UFO LED 200W;UNIDA;37815
120477;CAMPANA UFO LED 240W;UNIDA;46218
160861;CAMPANA UFO LED 3000K BLANCA;UNIDA;29412
160860;CAMPANA UFO LED 3000K NEGRO;UNIDA;29412
160272;CANALETA 100X50X2000MM;UNIDA;4500
160269;CANALETA 20 X 10;UNIDA;840
160270;CANALETA 20X10X2000MM;UNIDA;672
160268;CANALETA 40X16 C/PEGAMENTO 15/BULTO;UNIDA;1555
160271;CANALETA 40X16X2000MM 20/C;UNIDA;1261
010187;CANDADO DORADO 32MM;UNIDA;840
010186;CANDADO P/BICICLETA;UNIDA;1261
160107;CANOA 1 X 20W C/BALLA ELECTRONICA 20/C;UNIDA;2689
